课程,学分,任课教师,职称,上课班级,上课班级名称,人数/班级,上课群组名称,行政班级,周次,节次,上课地点,承担单位
大学英语（二）,3,马静,讲师（高校）,015028,,33/1,,医学五年类1805,1-16,40708,A座123,大学外语部
大学英语（二）,3,应珊,讲师（高校）,015029,,29/1,,医学五年类1801,1-16,40304,外语网络楼114,大学外语部
大学英语（二）,3,应珊,讲师（高校）,015029,,29/1,,医学五年类1801,1-16,10708,外语网络楼132,大学外语部
数据库技术与应用（一）,3,田琪,副教授,015030,,66/2,,"医学五年类1804,医学五年类1805",1-12,40506,B座212,计算机基础教学中心
数据库技术与应用（一）,3,田琪,副教授,015030,,66/2,,"医学五年类1804,医学五年类1805",1-12,20102,B座212,计算机基础教学中心
数据库技术与应用（一）,3,温国海,工程师,015034,,83/3,,"医学五年类1803,医学五年类1802,医学五年类1801",1-12,10506,B座213,计算机基础教学中心
数据库技术与应用（一）,3,温国海,工程师,015034,,83/3,,"医学五年类1803,医学五年类1802,医学五年类1801",1-12,40102,B座212,计算机基础教学中心
中国近现代史纲要,3,吴争春,副教授,015035,,122/4,,"建筑城规类1802,建筑城规类1801,医学五年类1804,医学五年类1805","1,3,5,7,9,11,13,15-16",10910,B座113,史纲教研中心
中国近现代史纲要,3,李斌,副教授,015039,,83/3,,"医学五年类1801,医学五年类1803,医学五年类1802","1,3,5,7,9,11,13,15-16",20102,B座214,史纲教研中心
生物化学实验C,1.5,"骆亚萍,何海伦","讲师（高校）,教授",015040,,66/2,,"医学五年类1804,医学五年类1805",1-14,309101112,,生物化学系
生物化学实验C,1.5,"刘灿华,汤立军","讲师（高校）,研究员",015044,,83/3,,"医学五年类1801,医学五年类1802,医学五年类1803",1-14,109101112,,生物化学系
有机化学实验C,1.5,李芬芳,教授,015050,,33/1,,医学五年类1804,2-16,401020304,,有机及高分子化学系
有机化学实验C,1.5,蒋历辉,讲师,015051,,33/1,,医学五年类1803,2-16,309101112,,有机及高分子化学系
有机化学实验C,1.5,蓝敏焕,特聘教授,015052,,21/1,,医学五年类1802,2-16,309101112,,有机及高分子化学系
有机化学实验C,1.5,邹应萍,教授,015053,,33/1,,医学五年类1805,2-16,401020304,,有机及高分子化学系
有机化学实验C,1.5,喻桂朋,副教授,015054,,29/1,,医学五年类1801,2-16,309101112,,有机及高分子化学系
生物化学C,3.5,"汤立军,马昌杯","研究员,特聘副教授",015055,,66/2,,"医学五年类1804,医学五年类1805",1-14,10304,,生物化学系
生物化学C,3.5,"汤立军,马昌杯","研究员,特聘副教授",015055,,66/2,,"医学五年类1804,医学五年类1805",1-14,30304,,生物化学系
生物化学C,3.5,"何海伦,钟慧","教授,副教授",015056,,83/3,,"医学五年类1802,医学五年类1803,医学五年类1801",1-14,40708,B座309,生物化学系
生物化学C,3.5,"何海伦,钟慧","教授,副教授",015056,,83/3,,"医学五年类1802,医学五年类1803,医学五年类1801",1-14,20910,B座114,生物化学系
有机化学C,3.5,李晓如,教授,015061,,99/3,,"医学五年类1805,医学五年类1804,医学五年类1803",1-14,30102,,有机及高分子化学系
有机化学C,3.5,李晓如,教授,015061,,99/3,,"医学五年类1805,医学五年类1804,医学五年类1803",1-14,10102,B座110,有机及高分子化学系
有机化学C,3.5,梁文杰,副教授,015064,,50/2,,"医学五年类1802,医学五年类1801",1-14,30102,B座110,有机及高分子化学系
有机化学C,3.5,梁文杰,副教授,015064,,50/2,,"医学五年类1802,医学五年类1801",1-14,50102,B座111,有机及高分子化学系
大学生心理健康教育,1,叶湘虹,副教授,015080,,81/3,,"医学四年类1804,医学四年类1806,医学四年类1805",9-16,20506,A座308,思想政治教育系
大学生心理健康教育,1,叶湘虹,副教授,015082,,66/3,,"医学四年类1803,医学四年类1802,医学四年类1801",9-16,10506,C座311,思想政治教育系
大学生心理健康教育,1,叶湘虹,副教授,015088,,91/4,,"医学四年类1813,医学四年类1810,医学四年类1811,医学四年类1812",9-16,10708,C座205,思想政治教育系
大学生心理健康教育,1,叶湘虹,副教授,015089,,82/3,,"医学四年类1808,医学四年类1807,医学四年类1809",9-16,50102,C座311,思想政治教育系
细胞生物学实验C,1,"刘慕君,周叶方","副教授,副教授",015108,,94/4,,"医学四年类1801,医学四年类1803,医学四年类1804,医学四年类1802",1-8,201020304,,细胞生物学系
细胞生物学实验C,1,"刘慕君,周叶方","副教授,副教授",015110,,97/4,,"医学四年类1811,医学四年类1809,医学四年类1810,医学四年类1812",1-8,601020304,,细胞生物学系
细胞生物学实验C,1,"刘慕君,周叶方","副教授,副教授",015116,,107/4,,"医学四年类1808,医学四年类1807,医学四年类1805,医学四年类1806",1-8,605060708,,细胞生物学系
细胞生物学C,2,"刘慕君,项荣,张树冰,夏赞贤,周叶方,李杰,言惠文","副教授,教授,教授,教授,副教授,副教授,副教授",015132,,81/3,,"医学四年类1806,医学四年类1804,医学四年类1805",9-16,20102,C座209,细胞生物学系
